group,year,#wounded,#killed,#killed_civilian,#killed_political,#killed_security,country,city,location,latitude,longtitude,target_desc,target_type
Taliban (IEA),2011,47,17.5,1,0,16.5,Afghanistan,Kandahar City,Central Kandahar,31.61,65.71,Afghan National Police (ANP) patrol,Security
Taliban (IEA),2011,47,17.5,1,0,16.5,Afghanistan,Kandahar City,Central Kandahar,31.61,65.71,Afghan National Police (ANP) patrol,Security
Taliban (IEA),2011,7,0,0,0,0,Afghanistan,Panjwai District,Near a motorcycle repair shop,31.756763,65.647486,NATO-ISAF patrol,Security
Unknown Group,2011,5,0,0,0,0,Afghanistan,Gereshk,Plah area of Gereshk District,31.82,64.54,Afghan National Police (ANP) patrol,Security
Unknown Group,2011,2,0,0,0,0,Afghanistan,Gereshk,Military Logistic Convoy,31.82,64.54,Private Security Guards escorting a Convoy,Security
Taliban (IEA),2011,0,0.5,0,0,0.5,Afghanistan,Sangin District,Street where NATO convoy was travelling,32.07,64.84,NATO-ISAF military convoy,Security
Taliban (IEA),2011,5,7,3,0,4,Afghanistan,Sangin District,Sangin district center next to the Marine battalion headquarters,32.07,64.84,Afghan National Police (ANP) district headquarters,Security
Unknown Group,2011,9,1,1,0,0,Afghanistan,Qalat,In the vicinity of the police station,32.11,66.91,Convoy of Deputy Governor of Zabul Province Mohammad Jan Rasul Yaar [survived],Political
Taliban (IEA),2011,3,0,0,0,0,Afghanistan,Qalat,Gate of PRT base,32.11,66.91,ISAF-NATO Provincial Reconstruction Team (PRT) base,Security
Unknown Group,2011,13,1,1,0,0,Afghanistan,Qalat,unknown,32.11,66.91,Afghan National Army (ANA) military convoy,Security
Unknown Group,2011,2,1,0,0,1,Afghanistan,Delaram,NATO-ISAF military convoy,32.15,63.43,NATO-ISAF soldiers,Security
Unknown Group,2011,0,0,0,0,0,Afghanistan,Delaram,Afghan National Police (ANP) district headquarters,32.15,63.43,Afghani Security Force Personel,Security
Unknown Group,2011,12,4,3,1,0,Afghanistan,Shikin,Market Bazaar,32.49,69.2,Civilians in the Bazaar including the Shakeen district shura chairman Sher Nawaz Khan,Civilian
Taliban (IEA),2011,37,18,18,0,0,Afghanistan,Tarin Kot,Governor's Compound,32.61,65.87,Governor of Oruzgan Province Muhammad Omar Shirzad [survived],Political
Taliban (IEA),2011,11.5,3.5,3.5,0,0,Afghanistan,Bermal,Marketplace near Pakistani Border,32.75,69.29,Head of New District Council,Political
Taliban (IEA),2011,30,16.5,0,0,16.5,Afghanistan,Bermal,Outside a prviate construction company base,32.75,69.29,Zahir Construction Co. (working for NATO forces),Security
Taliban (IEA),2011,2,4,2,0,2,Afghanistan,Yahya Khel District,Outside Police Headquarters in Yahyakhel,32.92,68.65,Afghan National Police (ANP) headquarters,Security
Unknown Group,2011,18.5,3.5,1,0,2.5,Afghanistan,Khost,Outside of Police Area,33.34,69.9,Commander of Provincial Afghan Police Rapid Reaction Force (APRRF),Security
Taliban (IEA),2011,35,10,9,0,1,Afghanistan,Khost,Outskirts of Khost near Afghanistan's border with Pakistan,33.34,69.9,Afghan National Police (ANP) station,Security
Taliban (IEA),2011,5,3,0,0,3,Afghanistan,Khost,Inside Afghan National Police (ANP) headquarters,33.34,69.9,Afghan National Police (ANP) headquarters,Security
Taliban (IEA),2011,2.5,3,0,0,3,Afghanistan,Zormat District,District Government Center,33.437782,69.02774,District Center,Political
Taliban (IEA),2011,14,4,4,0,0,Afghanistan,Ali Sher Terzai,Hotel,33.46,70.09,Meeting of Tribal Leaders,Security
Taliban (IEA),2011,9,0,0,0,0,Afghanistan,Sabari District,near a police checkpoint in Yaqubi area of Sabari district,33.53,69.9,NATO-ISAF military convoy,Security
Taliban (IEA),2011,2,2,0,0,2,Afghanistan,Sabari District,Maktab bazaar area,33.53,69.9,Joint NATO-ISAF and Afghan National Army (ANA) military convoy,Security
Unknown Group,2011,2,1,1,0,0,Afghanistan,Sabari District,Afghan and NATO forces preparing to patrol in the Sabari district,33.53,69.9,Joint NATO-ISAF and Afghan National Army (ANA) patrol,Security
Unknown Group,2011,2,1,1,0,0,Afghanistan,Sabari District,Afghan and NATO forces preparing to patrol in the Sabari district,33.53,69.9,Joint NATO-ISAF and Afghan National Army (ANA) patrol,Security
Unknown Group,2011,3,1.5,1.5,0,0,Afghanistan,Ghazni City,Qala Amir Mohammad Khan area,33.54,68.43,Civilians,Civilian
Unknown Group,2011,1,1,0,0,1,Afghanistan,Gardez,Afghan National Army (ANA) base,33.59,69.23,Afghan National Army (ANA) base,Security
Taliban (IEA),2011,4,2,0,0,2,Afghanistan,Gardez,NATO-ISAF US Provincial Reconstruction Team (PRT) base,33.59,69.23,NATO-ISAF US Provincial Reconstruction Team,Security
Taliban (IEA),2011,6,0,0,0,0,Afghanistan,Jaji Maydan,Residential Home House of Anti-Taliban Cleric,33.61,70.17,Anti-Taliban Cleric,Civilian
Unknown Group,2011,0,3,3,0,0,Afghanistan,Sayed Kamra District,Entrance of Sayd Distric Headquarters,33.69,69.37,District Headquarters,Political
Taliban (IEA),2011,2,3,0,3,0,Afghanistan,Zazi District,Police Training Center,33.931348,69.701729,Afghan National Police (ANP) recruits,Security
Taliban (IEA),2011,89.5,1,1,0,0,Afghanistan,Sayedabad District,Combat Outpost Sayed Abad,33.992229,68.709763,NATO-ISAF forces in base,Security
Unknown Group,2011,3,0,0,0,0,Afghanistan,Pul-e 'Alam District,Governor Executive Office Govnernor Office Provincial Capital,33.995289,69.02274,Lowgar Governor,Political
Unknown Group,2011,2,6,0,0,6,Afghanistan,Khushi,Near headquarters of Khushi district,33.997133,69.400917,Afghan National Police (ANP) troops,Security
Taliban (IEA),2011,60,25,25,0,0,Afghanistan,Azra,Hospital Akbar Kahil Hospital,34.109043,69.624499,Hospital Clinic,Civilian
Taliban (IEA),2011,5,2,0,0,2,Afghanistan,Guzara,Near Herat Airport and NATO-ISAF Regional Command West Headquarters,34.21,62.21,Offices of Monaco-based international firm ES-KO a NATO contractor,Security
Taliban (IEA),2011,72,1,1,0,0,Afghanistan,Mohammad Agha,Highway at the base of Combat Outpost McClain,34.24,69.06,Joint NATO-ISAF and Afghan National Army (ANA) Combat Outpost (COP) McClain,Security
Taliban (IEA),2011,0,0,0,0,0,Afghanistan,Herat,Shebas area of Herat-Islam Qala main road,34.35,62.2,NATO-ISAF military convoy,Security
Taliban (IEA),2011,5,4,0,0,4,Afghanistan,Herat,Gate of NATO-ISAF (Italian) Provincial Reconstruction Team (PRT) compound,34.35,62.2,NATO-ISAF (Italian) Provincial Reconstruction Team (PRT) compound,Security
Taliban (IEA),2011,4,0,0,0,0,Afghanistan,Musayi,Outside of Office of District Chief,34.371073,69.209119,Office of the Musayi District Chief,Political
Taliban (IEA),2011,21,14,0,0,14,Afghanistan,Jalalabad,Minibus traveling form training center,34.43,70.45,Afghan National Police (ANP) cadets on minibus,Security
Taliban (IEA),2011,71.5,29,0,0,29,Afghanistan,Jalalabad,Downtown Jalalabad,34.43,70.45,Afghan soldiers and police officers collecting salaries at bank,Security
Taliban (IEA),2011,16,8,1,0,7,Afghanistan,Kabul,Cultural Center Main Square in Kabul,34.53,69.17,Brtitish Cultural Center (possible front for espionage),Civilian
Taliban (IEA),2011,160,55.5,55.5,0,0,Afghanistan,Kabul,Shrine Gates of the Abu Fazl Shrine,34.53,69.17,Shiite Worshippers,Civilian
Lashkar-e Jhangvi al-Almi,2011,160,55.5,55.5,0,0,Afghanistan,Kabul,Shrine Gates of the Abu Fazl Shrine,34.53,69.17,Shiite Worshippers,Civilian
Taliban (IEA),2011,2,2,0,0,2,Afghanistan,Kabul,Shopping Mall Kabul City Center Shopping Mall Downtown Kabul,34.53,69.17,Foreign Shoppers,Civilian
Taliban (IEA),2011,2,2,0,0,2,Afghanistan,Kabul,Shopping Mall Kabul City Center Shopping Mall Downtown Kabul,34.53,69.17,Foreign Shoppers,Civilian
Taliban (IEA),2011,2,11.5,11,0,0,Afghanistan,Kabul,Hotel Intercontinental Hotel,34.53,69.17,Foreign civilians staying at hotel,Civilian
Taliban (IEA),2011,2,11.5,11,0,0,Afghanistan,Kabul,Hotel Intercontinental Hotel,34.53,69.17,Foreign civilians staying at hotel,Civilian
Unknown Group,2011,2,3,0,0,3,Afghanistan,Kabul,Wazir Akbar Khan neighborhood of Kabul City,34.53,69.17,Former President of Afghanistan and head of Peace Council,Political
Unknown Group,2011,10.5,0,0,0,0,Afghanistan,Kabul,Kabul Street where bus was travelling,34.53,69.17,Afghan National Army (ANA) bus,Security
Taliban (IEA),2011,3,0.5,0,0,0.5,Afghanistan,Kabul,Darul Aman Road,34.53,69.17,202nd Shamshad Police Headquarters,Security
Taliban (IEA),2011,0,1,0,0,1,Afghanistan,Kabul,Building Taliban Were Staging their Mortar attack against US Embassy from,34.53,69.17,Afghan National Police (ANP) patrol,Security
Taliban (IEA),2011,33,2,0,0,2,Afghanistan,Kabul,Western Kabul in proximity of Kabul Building of Parliament,34.53,69.17,National Directorate of Security (NDS) bus,Security
Taliban (IEA),2011,23,6,6,0,0,Afghanistan,Kabul,Wazir Akbar Khan area,34.53,69.17,Afghan National Army (ANA) military hospital,Security
Taliban (IEA),2011,8,5.5,2,0,3.5,Afghanistan,Kabul,Police Station Hawza-e-Awal (4th District) heart of Kabul,34.53,69.17,Afghan National Police (ANP) station,Security
Taliban (IEA),2011,13,8.5,8.5,0,0,Afghanistan,Kabul,Finest Supermarket in Central Kabul's upscale Wazir Akbar Khan neighborhood (Embassy District),34.53,69.17,Head of the private security firm Xe Services (Blackwater Maritime Security Services),Security
Taliban (IEA),2011,0,13.5,3,0,10.5,Afghanistan,Kabul,Darul Aman,34.53,69.17,NATO-ISAF military convoy,Security
Taliban (IEA),2011,4,6.5,4.5,0,2,Afghanistan,Qarghayi District,the district government compound,34.55,70.24,NATO-Afghan Force meeting,Security
Taliban (IEA),2011,0,9.5,0,0,9.5,Afghanistan,Qarghayi District,Gambiri desert area,34.55,70.24,Joint NATO-ISAF and Afghan National Army (ANA) military base,Security
Unknown Group,2011,1,0,0,0,0,Afghanistan,Khas Kunar,In the Pala area of Khas Kunar district,34.6475,70.9016,Afghan National Police (ANP) checkpoint,Security
Unknown Group,2011,14,4,4,0,0,Afghanistan,Alishang,Market Bazaar Alishing Qal`ah-ye Najil Qala Bazaar,34.703333,70.153056,Crowded Afghan bazaar,Civilian
Taliban (IEA),2011,0,5,4,0,1,Afghanistan,Ghaziabad District,Inside a Mosque,34.71581,70.76405,Afghan National Police (ANP) district chief,Security
Unknown Group,2011,8,0,0,0,0,Afghanistan,Tagab District,Road French soldiers were on patrol on,34.85,69.65,NATO-ISAF (French) patrol,Security
Taliban (IEA),2011,3.5,5,0,0,5,Afghanistan,Tagab District,Gulzarkhail Village,34.85,69.65,NATO-ISAF patrol,Security
Unknown Group,2011,2,0,0,0,0,Afghanistan,Asadabad,Outside of Afghan Intelligence Office,34.873563,71.151215,National Directorate of Security (NDS) offices,Security
Taliban (IEA),2011,6.5,0,0,0,0,Afghanistan,Tatar Kehl,Road of Tatarkhel area,34.87937,69.67296,NATO-ISAF military convoy,Security
Taliban (IEA),2011,3,1,0,0,1,Afghanistan,Marah Warah District,Convoy Traveling through Marwi,34.89,71.18,NATO-ISAF military convoy,Security
Taliban (IEA),2011,0,0,0,0,0,Afghanistan,Qal'ah-ye Now,NATO-ISAF base,34.99,63.13,NATO-ISAF soldiers,Security
Taliban (IEA),2011,3,1,1,0,0,Afghanistan,Watapur District,Bridge,34.99848,71.08198,NATO-ISAF troops,Security
Taliban (IEA),2011,1.5,1.5,1.5,0,0,Afghanistan,Charikar,Governor's vehicle,35,69.17,Parwan Province Governor Abdul Basir Salangi,Political
Taliban (IEA),2011,35.5,20.5,15,0,5.5,Afghanistan,Charikar,provincial governor's compound in eastern Afghanistan,35,69.17,Governor's Compound,Political
Taliban (IEA),2011,7.5,6.5,4.5,0,2,Afghanistan,Mahmud-e Raqi,Governor Executive Office Near governor's office,35.02,69.36344,Governor Tawab's Office,Political
Taliban (IEA),2011,7,10,0,10,0,Afghanistan,Asmar,Gathering of tribal elders,35.03,71.36,Tribal Elder Malik Zarin,Political
Taliban (IEA),2011,3.5,1.5,1,0,0.5,Afghanistan,Rokha District,Gate of Base,35.26482,69.46866,NATO-ISAF base,Security
Taliban (IEA),2011,0,3.5,2.5,0,1,Afghanistan,Murghab District,Bala Murghab Village,35.580278,63.327778,Afghan National Army (ANA) military convoy,Security
Taliban (IEA),2011,1,1,1,0,0,Afghanistan,Maymana,Ahmad Sadat's Convoy in Maymana,35.92,64.78,General Sayed Ahmad Sadat Provincial Intelligence Chief,Security
Unknown Group,2011,7,0,0,0,0,Afghanistan,Pol-e Khomri,House of Tribal Leader,35.93,68.71,Tribal Leader,Political
Taliban (IEA),2011,18,7,5,0,2,Afghanistan,Baghlan,Exit of a Mosque,36.13,68.7,Afghan National Police (ANP) commanders,Security
Taliban (IEA),2011,30.5,2.5,2.5,0,0,Afghanistan,Shirin Tagab District,Stadium Buzkashi match [game played on horseback using body of goat as a ball],36.251448,64.830948,Afghan civilian spectators,Civilian
Taliban (IEA),2011,5,5,2.5,1,1.5,Afghanistan,Chahar Darreh,Governor Local Office district governor's office,36.68,68.7,Chardara district governor Wahed Omarkhel,Political
Taliban (IEA),2011,21,4,4,0,0,Afghanistan,Mazar-e Sharif,Shrine Busy Street Adjacent to Shrine,36.71,67.1,Worshipers,Civilian
Lashkar-e Jhangvi al-Almi,2011,21,4,4,0,0,Afghanistan,Mazar-e Sharif,Shrine Busy Street Adjacent to Shrine,36.71,67.1,Worshipers,Civilian
Unknown Group,2011,16,4,0,0,4,Afghanistan,Kunduz,Mosque Compound of the Rustaqabad Mosque,36.72,68.87,Funeral for Provincial Police official,Civilian
Taliban (IEA),2011,7.5,2.5,2.5,0,0,Afghanistan,Kunduz,Kabul-Kunduz Highway near Kunduz,36.72,68.87,NATO-ISAF (German) military convoy,Security
Taliban (IEA),2011,0,3,0,0,3,Afghanistan,Kunduz,on a street in front of a fire station,36.72,68.87,Abdurahman Sayed Kheli Police Chief of Kunduz Province,Security
Taliban (IEA),2011,30,36.5,0,0,36.5,Afghanistan,Kunduz,Afghan National Army Recruitment Center,36.72,68.87,Afghan National Army (ANA) Recruitment Center,Security
Taliban (IEA),2011,5.5,3.5,0,3.5,0,Afghanistan,Kondoz Province,Compound frequented by foreigners,36.726131,68.865189,Kaboora Security Company,Security
Unknown Group,2011,50,20,20,0,0,Afghanistan,Taloqan,Funeral of Tribal Elder,36.74,69.53,Member of Parliament,Political
Taliban (IEA),2011,5,5,0,0,5,Afghanistan,Taloqan,Taloqan Governor's Compound,36.74,69.53,Commander of Nato Forces Maj. Gen. Markus Kneip (survived),Security
Unknown Group,2011,6,3.5,2.5,0,1,Afghanistan,Aqcha,Outside a District Police Headquarters,36.9,66.2,Afghan National Police (ANP) district headquarters,Security
Taliban (IEA),2011,29.5,31.5,0,0,31.5,Afghanistan,Emam Saheb,District Population Registration Office,37.18,68.9,Afghan Local Police (ALP) recruits,Political
Al-Qaeda in the Land of the Islamic Maghreb,2011,0,18,2,0,16,Algeria,Cherchell,prestigious military school in the coastal town of Cherchell,36.61,2.196667,Military Academy accused of supporting Qaddafi,Security
Al-Qaeda in the Land of the Islamic Maghreb,2011,29,0,0,0,0,Algeria,Tizi Ouzou,Tizi Ouzou Police Station,36.7,4.06,Algerian National Gendarmarie (AGN) headquarters,Security
Al-Qaeda in the Land of the Islamic Maghreb,2011,0,2,0,0,2,Algeria,Bordj Menaiel,Outside local police headquarters,36.74,3.72,Algerian National Police (ASN) police station,Security
Unknown Group,2011,79,23,23,0,0,Egypt,Alexandria,Church Khaliil Hamada Street,31.2,29.9,Al-Qiddissin Coptic Church,Civilian
Unknown Group,2011,22,0,0,0,0,Indonesia,Solo,Church packed church,-7.56,110.82,Bethel Gospel Church,Civilian
Unknown Group,2011,27,0,0,0,0,Indonesia,Cirebon,Mosque inside police compound,-6.716667,108.566667,Indonesian Police officers praying at mosque,Security
Unknown Group,2011,50,3.5,3.5,0,0,Iraq,Basrah,Mosque Outside where worshipers were leaving the mosque,30.53,47.79,Iraqi Shia mosque,Civilian
Unknown Group,2011,24,4,1,0,3,Iraq,Basrah,Southern port of Basrah,30.53,47.79,Iraqi Police Command Center,Security
Unknown Group,2011,35,24,0,24,0,Iraq,Diwaniya,Governor Official Residence Home of the Governor,31.99289,44.92552,Governor of Qadisiyah province,Political
Islamic State of Iraq,2011,73.5,23,0,0,23,Iraq,Hillah,Outside police station,32.48,44.43,Iraqi Police patrol,Security
Unknown Group,2011,156.5,50.5,50.5,0,0,Iraq,Karbala,Checkpoint Security checkpoint on outskirts of Karbala,32.61,44.02,Iraqi Shia pilgrims,Civilian
Unknown Group,2011,156.5,50.5,50.5,0,0,Iraq,Karbala,Checkpoint Security checkpoint on outskirts of Karbala,32.61,44.02,Iraqi Shia pilgrims,Civilian
Unknown Group,2011,17,4,4,0,0,Iraq,Haswah (Babil),Restaurant,32.878541,44.387444,Iraqi Shia pilgrims,Civilian
Unknown Group,2011,5,0,0,0,0,Iraq,Baghdad,Bus Station Bab al-Maudham,33.34,44.4,Bus Station,Civilian
Unknown Group,2011,33,1,1,0,0,Iraq,Baghdad,Northeast of Baghdad,33.34,44.4,Unknown,Civilian
Islamic State of Iraq,2011,10,15,14,1,0,Iraq,Baghdad,Mosque Umm Al-Qura Sunni Mosque in Al-Ghazaliyah,33.34,44.4,Ahmed Abdulghafur al-Samarrai head of the mosque and founder of an anti-Qaeda militia,Civilian
Unknown Group,2011,105.5,41.5,0,0,41.5,Iraq,Baghdad,Funeral for Iraqi Shia,33.34,44.4,Iraqi Shias,Civilian
Unknown Group,2011,33,6,4,0,2,Iraq,Baghdad,checkpoint leading to the Iraqi Interior Ministry,33.34,44.4,Iraqi Interior Ministry,Political
Islamic State of Iraq,2011,52.5,24,0,24,0,Iraq,Baghdad,Karrada,33.34,44.4,Integrity Commission offices,Political
Unknown Group,2011,6,1,0,0,1,Iraq,Baghdad,Mansur District,33.34,44.4,Iraqi Police patrol,Security
Unknown Group,2011,22,4,0,0,4,Iraq,Baghdad,Hurriya neighborhood occurred before attack on Al-Wiyah police station,33.34,44.4,Iraqi Police station,Security
Unknown Group,2011,5,14,0,0,14,Iraq,Baghdad,Al-Wahdah neighborhood police station,33.34,44.4,Iraqi Police station,Security
Unknown Group,2011,19,6.5,1,0.5,5,Iraq,Baghdad,West Gate of the Green Zone,33.34,44.4,Motorcades of two senior government officials,Security
Unknown Group,2011,6.5,3,1,0,2,Iraq,Fallujah,Outside a mosque,33.36,43.77,Iraqi soldiers,Security
Unknown Group,2011,4.5,4,0,0,4,Iraq,Fallujah,police station and several nearby civilian buildings,33.36,43.77,Iraqi Police station,Security
Islamic State of Iraq,2011,7.5,4,4,0,0,Iraq,Ramadi,Hospital Near Anbar provincial government offices,33.434167,43.268611,Hospital,Civilian
Unknown Group,2011,20,8,0,0,8,Iraq,Ramadi,Downtown Ramadi at the site of a bombing minutes earlier,33.434167,43.268611,Crowd of Iraqi civilians,Civilian
Unknown Group,2011,7,0.5,0,0,0.5,Iraq,Ramadi,Central Ramadi,33.434167,43.268611,Qassim Mohammed Al-Fahadawi Governor of Anbar Province,Political
Unknown Group,2011,18.5,13,5,0,8,Iraq,Ramadi,Trade Union Complex 17th Street Downtown Ramadi,33.434167,43.268611,Hikmat Jassem Deputy Governor of Anbar province,Political
Unknown Group,2011,0,4,1,1,2,Iraq,Ramadi,Government compound,33.434167,43.268611,Government compound,Political
Unknown Group,2011,14,6,0,0,6,Iraq,Ramadi,Iraqi Police checkpoint,33.434167,43.268611,Iraqi Police checkpoint,Security
Islamic State of Iraq,2011,10,6,0,0,6,Iraq,Ramadi,Near Anbar provincial government offices,33.434167,43.268611,Iraqi police responding to roadside IED explosion,Security
Unknown Group,2011,16.5,9.5,2,0,7.5,Iraq,Taji,Police units responding to a car bombing that hit a US convoy,33.520462,44.268975,Police gathering near a bomb blast,Security
Unknown Group,2011,21.5,15,7,0,8,Iraq,Taji,Main gate of al-Hout prison,33.520462,44.268975,Al-Hout Prison,Security
Unknown Group,2011,14,8,0,0,8,Iraq,Khan Bani Sad,Outside an Iraqi Army Base,33.58,44.59,Iraqi Army base,Security
Unknown Group,2011,7,2,0,0,2,Iraq,Tarimiyah,Home of,33.669843,44.367689,Chief of Police Tawfeeq Ahmed,Security
Unknown Group,2011,17,2,2,0,0,Iraq,Tarimiyah,Inside the police station,33.669843,44.367689,Iraqi Police station,Security
Unknown Group,2011,18,10,10,0,0,Iraq,Balad Ruz,Mosque Inside Imam al-Hussein mosque,33.69,45.06,Iraqi Shia mosque,Civilian
Islamic State of Iraq,2011,14,10,0,0,9,Iraq,Kanan,Military Barracks in compound of governmental buildings,33.69,44.8,Iraqi Army base,Security
Islamic State of Iraq,2011,15.5,2,2,0,0,Iraq,Baqubah,Crowd of Shia pilgrims,33.74,44.64,Iraqi Shia pilgrims,Civilian
Unknown Group,2011,22,8.5,0,8.5,0,Iraq,Baqubah,A provincial capital building,33.74,44.64,Government Headquarters,Political
Unknown Group,2011,19.5,2,0,0,2,Iraq,Baqubah,Al-Hedaid Car Dealership,33.74,44.64,Lieutenant Colonel Abdul-Hameed Chief of the 3rd Battalion of Diyala's Police Commando [killed],Security
Unknown Group,2011,16.5,2,2,0,0,Iraq,Baqubah,Central Baquba,33.74,44.64,Iraqi Intelligence Service Building,Security
Unknown Group,2011,30,3,1,0,2,Iraq,Baqubah,Headquarters of local police,33.74,44.64,Iraqi Police headquarters,Security
Unknown Group,2011,26,5,0,0,5,Iraq,Baqubah,Home of,33.74,44.64,Yassin Issa Daud Leader of the Sahwa/Awakening militia in Taji,Security
Islamic State of Iraq,2011,76,9.5,2,0,7.5,Iraq,Baqubah,Khalis,33.74,44.64,Headquarters of Facilities Protection Service,Security
Unknown Group,2011,12,2,0,0,2,Iraq,Dujail,On the outskirts of Dujayl,33.84,44.23,Iraqi Army Checkpoint,Security
Unknown Group,2011,0,2.5,0.5,0,2,Iraq,Al Baghdadi,Entrance of government compound,33.85,42.54,Iraqi Government Compound,Political
Unknown Group,2011,5,3,0,0,3,Iraq,Al Baghdadi,Iraqi Police checkpoint,33.85,42.54,Iraqi Police checkpoint,Security
Unknown Group,2011,1.5,0,0,0,0,Iraq,Hadithah,parking lot of Bab al-Mu'adham,34.13,42.37,Iraqi Police station,Security
Unknown Group,2011,17,9.5,6.5,0,3,Iraq,Hadithah,Inside the town's Al-Rafidain bank,34.13,42.37,Policemen standing inside of the bank waiting to collect their salaries,Security
Unknown Group,2011,3,0,0,0,0,Iraq,Samarra,Al-Huwayj area western Samarra,34.19,43.87,Farmers trying to arrest the bomber,Civilian
Unknown Group,2011,20,26,26,0,0,Iraq,Samarra,Restaurant Madayef Samarra Restaurant North of Samarra,34.19,43.87,Iraqi Shia pilgrims,Civilian
Unknown Group,2011,24,30,30,0,0,Iraq,Samarra,Checkpoint Security checkpoint on the outskirts of Samarra,34.19,43.87,Iraqi Shia pilgrims,Civilian
Islamic State of Iraq,2011,9,3.5,3.5,0,0,Iraq,Tikrit,Hospital,34.6,43.67,Iraqi MP visiting victims of earlier suicide attack [SURVIVED],Political
Islamic State of Iraq,2011,58.5,17.5,13.5,1.5,2,Iraq,Tikrit,Mosque Sunni mosque on government compond,34.6,43.67,Provinical government and security officials,Political
Islamic State of Iraq,2011,97,58,0,0,10,Iraq,Tikrit,State Legislative Chamber Front Entrance of Provincial Council Building,34.6,43.67,Provincial Council Building,Political
Unknown Group,2011,8.5,3,0,0,3,Iraq,Tikrit,inside the city's anti-terror headquarters,34.6,43.67,Iraqi counter terrorism unit,Security
Unknown Group,2011,32,11,0,0,11,Iraq,Tikrit,Outside state-run Rafidian Bank,34.6,43.67,Iraqi Police officers picking up paychecks,Security
Islamic State of Iraq,2011,138.5,54.5,0,0,54.5,Iraq,Tikrit,Outside police recruitment center,34.6,43.67,Iraqi Police recruits,Security
Unknown Group,2011,9,0,0,0,0,Iraq,Huwayjah,Near the Police Station,35.33,43.77,Iraqi Police station,Security
Unknown Group,2011,76,3,2,0,1,Iraq,Kirkuk,Road in front of the bank,35.46,44.39,Iraqi Police waiting in line for paychecks,Security
Unknown Group,2011,91,7.5,5.5,0,2,Iraq,Kirkuk,Vicinity of Asayish Headquarters,35.46,44.39,Kurdish Security Forces (Asayish) Headquarters,Security
Unknown Group,2011,8.5,3,3,0,0,Iraq,Baaj,Car dealership,36.04,41.71,Iraqi civilians,Civilian
Unknown Group,2011,3,0,0,0,0,Iraq,Mosul,Street where convoy was driving,36.33,43.11,Head of the Patriotic Union of Kurdistan,Political
Unknown Group,2011,9,2,0,0,2,Iraq,Mosul,In city,36.33,43.11,Iraqi Army patrol,Security
Unknown Group,2011,17.5,7.5,4,0,3.5,Iraq,Mosul,Checkpoint near a popular market in central Mosul,36.33,43.11,Iraqi Army patrol,Security
Unknown Group,2011,0,1,0,0,1,Kazakhstan,Taraz,Following a spree of violence targeting Kazakhstani police at multiple locations,42.89,71.36,Kazakhstani police officer,Security
Unknown Group,2011,2,0,0,0,0,Kazakhstan,Aktobe,Reginal Department of the National Security Committee,50.283934,57.166978,Kazakhstan Domestic Government,Political
Boko Haram,2011,78,23.5,0,23.5,0,Nigeria,Abuja,UN headquarters center city diplomatic zone,9.0543337,7.3940348,United Nations (UN) Headquarters,Political
Unknown Group,2011,0,6,5,0,1,Nigeria,Abuja,Inside National Police Headquarters,9.0543337,7.3940348,Nigerian Police Headquarters,Security
Boko Haram,2011,53.5,37,37,0,0,Nigeria,Madalla,Church St. Theresa's Catholic Church,9.104,7.213,St. Theresa's Catholic Church in Madalla,Civilian
Boko Haram,2011,7,0,0,0,0,Nigeria,Maiduguri,Gate of Headquarters of the military anti-terrorism Joint Task Force,11.833333,13.15,Headquarters of the military anti-terrorism Joint Task Force,Security
Tehrik-i-Taliban Pakistan,2011,3.5,2,0,0,2,Pakistan,Karachi,Malir 15 Area of Karachi,24.91,67.08,Pakistani Police van,Security
Tehrik-i-Taliban Pakistan,2011,5,8,2,0,6,Pakistan,Karachi,Darakhshan area,24.91,67.08,SSP CID Chaudhry Aslam,Security
Unknown Group,2011,0,4,0,0,2.5,Pakistan,Karachi,Sea View at Clifton,24.91,67.08,Pakistani police after being cornered,Security
Unknown Group,2011,121,42.5,37,0,0,Pakistan,Dera Ghazi Khan,Shrine Sufi Sakhi Sarwar Shrine,30.06,70.64,Sufi Sakhi Sarwar Shrine,Civilian
Unknown Group,2011,19.5,10.5,10.5,0,0,Pakistan,Quetta,Mosque Parking lot of Shiite Mosque,30.19,67.01,Shiite Mosque,Civilian
Unknown Group,2011,13,1.5,0.5,0,1,Pakistan,Quetta,the house of DIG investigation,30.19,67.01,Wazir Khan Nasar DIG Leader,Security
Tehrik-i-Taliban Pakistan,2011,66,26,1,0,22.5,Pakistan,Quetta,Outside the residence of the DIG Frontier Corps (FC) near the Commissioner Office in Quetta,30.19,67.01,DIG Frontier Corps Deputy Chief,Security
Tehrik-i-Taliban Pakistan,2011,60,13,10,0,3,Pakistan,Lahore,Bhati Gate near Karbala Gamay Shah,31.55,74.34,Pakistani Shiite Procession,Civilian
Tehrik-i-Taliban Pakistan,2011,14.5,8.5,0,0,7,Pakistan,Kulachi,Tehsil Kulachi area of Dera Ismail Khan,31.92861,70.45917,Pakistani Police Station,Security
Tehrik-i-Taliban Pakistan,2011,14.5,8.5,0,0,7,Pakistan,Kulachi,Tehsil Kulachi area of Dera Ismail Khan,31.92861,70.45917,Pakistani Police Station,Security
Unknown Group,2011,2,0,0,0,0,Pakistan,Jandola,Kotkai Village,32.34,70.12,Car Carrying FWO Contractors,Security
